"No.","Time","Source","Destination","Protocol","Length","Info"
"77","0.556758839","142.250.75.68","192.168.126.132","TCP","60","443  >  33380 [ACK] Seq=1 Ack=1789 Win=64240 Len=0"
"78","0.557001335","192.168.126.132","142.250.75.68","TLSv1.3","1874","Client Hello (SNI=www.google.com)"
"79","0.557269173","142.250.75.68","192.168.126.132","TCP","60","443  >  33366 [ACK] Seq=1 Ack=1461 Win=64240 Len=0"
"80","0.557793738","142.250.75.68","192.168.126.132","TCP","60","443  >  33366 [ACK] Seq=1 Ack=1821 Win=64240 Len=0"
"81","0.558424761","192.168.126.132","142.250.75.68","TLSv1.3","1810","Client Hello (SNI=www.google.com)"
"82","0.558960156","142.250.75.68","192.168.126.132","TCP","60","443  >  33390 [ACK] Seq=1 Ack=1461 Win=64240 Len=0"
"83","0.558960330","142.250.75.68","192.168.126.132","TCP","60","443  >  33390 [ACK] Seq=1 Ack=1757 Win=64240 Len=0"
"84","0.559100888","192.168.126.132","142.250.75.68","TLSv1.3","1810","Client Hello (SNI=www.google.com)"
"85","0.559679647","142.250.75.68","192.168.126.132","TCP","60","443  >  33384 [ACK] Seq=1 Ack=1461 Win=64240 Len=0"
"86","0.559679797","142.250.75.68","192.168.126.132","TCP","60","443  >  33384 [ACK] Seq=1 Ack=1757 Win=64240 Len=0"
"87","0.565833281","173.194.76.84","192.168.126.132","QUIC","82","Initial, SCID=e3fb739accb3c31f, PKN: 1, ACK"
"88","0.571638057","173.194.76.84","192.168.126.132","QUIC","1292","Initial, SCID=e3fb739accb3c31f, PKN: 2, ACK, PADDING"
"89","0.571638326","173.194.76.84","192.168.126.132","QUIC","1292","Initial, SCID=e3fb739accb3c31f, PKN: 3, CRYPTO, PADDING"
"90","0.571638367","173.194.76.84","192.168.126.132","QUIC","1292","Initial, SCID=e3fb739accb3c31f, PKN: 4, CRYPTO, PADDING"
"91","0.571638390","173.194.76.84","192.168.126.132","QUIC","1292","Handshake, SCID=e3fb739accb3c31f"
"92","0.571638416","173.194.76.84","192.168.126.132","QUIC","1292","Handshake, SCID=e3fb739accb3c31f"
"93","0.572307327","173.194.76.84","192.168.126.132","QUIC","1292","Handshake, SCID=e3fb739accb3c31f"
"94","0.572517018","192.168.126.132","173.194.76.84","QUIC","1292","Initial, DCID=e3fb739accb3c31f, PKN: 3, ACK, PADDING"
"95","0.572639168","192.168.126.132","173.194.76.84","QUIC","81","Handshake, DCID=e3fb739accb3c31f"
"96","0.572732375","192.168.126.132","142.250.75.68","QUIC","79","Handshake, DCID=e26c13aa31d756cf"
"97","0.573912852","192.168.126.132","173.194.76.84","QUIC","82","Handshake, DCID=e3fb739accb3c31f"
"98","0.584999391","142.250.75.68","192.168.126.132","QUIC","1292","Handshake, SCID=e26c13aa31d756cf"
