"No.","Time","Source","Destination","Protocol","Length","Info"
"211","0.829282282","64.233.167.84","192.168.126.132","QUIC","995","Protected Payload (KP0)"
"212","0.829282311","64.233.167.84","192.168.126.132","QUIC","163","Protected Payload (KP0)"
"213","0.829282346","64.233.167.84","192.168.126.132","QUIC","69","Protected Payload (KP0)"
"214","0.829404868","192.168.126.132","142.250.75.68","QUIC","73","Protected Payload (KP0), DCID=edf25624b60bdc86"
"215","0.829659021","192.168.126.132","142.250.75.68","QUIC","73","Protected Payload (KP0), DCID=edf25624b60bdc86"
"216","0.829944803","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"217","0.829944872","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"218","0.829944902","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"219","0.829996276","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"220","0.829996303","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"221","0.829996331","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"222","0.830038563","192.168.126.132","142.250.75.68","QUIC","73","Protected Payload (KP0), DCID=edf25624b60bdc86"
"223","0.830140988","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"224","0.830141019","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"225","0.830141045","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"226","0.830141082","142.250.75.68","192.168.126.132","QUIC","278","Protected Payload (KP0)"
"227","0.830141108","142.250.75.68","192.168.126.132","QUIC","1287","Protected Payload (KP0)"
"228","0.830141135","64.233.167.84","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"229","0.830141179","64.233.167.84","192.168.126.132","QUIC","196","Protected Payload (KP0)"
"230","0.830176562","192.168.126.132","142.250.75.68","QUIC","73","Protected Payload (KP0), DCID=edf25624b60bdc86"
